empresa,tipo,model_id,model_label,prompt_id,n_chamadas,n_sucesso,taxa_sucesso,n_truncadas,taxa_truncamento,n_validas,n_paginas,html_sem_texto_extra_taxa,wer_media,cer_media,num_f1_media,cost_usd_media,completion_tokens_media,prompt_tokens_media,latency_s_media
Anthropic,fechado,anthropic/claude-opus-5,Claude Opus 5,p1,16,16,1.0,0,0.0,16,16,1,0.03621030326812472,0.012926374116671987,0.933890217948076,0.1939065625,6832.875,4616.9375,77.59943368125096
Moonshot,aberto,moonshotai/kimi-k3,Kimi K3,p1,16,16,1.0,0,0.0,16,16,1,0.05435977077502564,0.021334518207466756,0.8963769765650217,0.07211454375,3848.4375,5061.4375,108.1751074687636
