empresa,tipo,model_id,model_label,prompt_id,n_chamadas,n_sucesso,taxa_sucesso,n_truncadas,taxa_truncamento,n_validas,html_sem_texto_extra_taxa,wer_media,cer_media,num_f1_media,cost_usd_media,completion_tokens_media,prompt_tokens_media,latency_s_media
Google,fechado,google/gemini-3.5-flash,Gemini 3.5 Flash,p1,31,16,0.5161290322580645,5,0.16129032258064516,11,1,0.03517117956440212,0.01696505942112697,0.9446298227134844,0.10932818181818182,11959,1131.4545454545455,58.57694880000781
Google,fechado,google/gemini-3.6-flash,Gemini 3.6 Flash,p1,22,16,0.7272727272727273,0,0.0,16,1,0.06064849804230189,0.024217838761396732,0.9063782308280818,0.02873765625,7436.1875,1135.9375,37.628779337523156
