empresa,tipo,model_id,model_label,prompt_id,n_chamadas,n_sucesso,taxa_sucesso,n_truncadas,taxa_truncamento,n_validas,n_paginas,html_sem_texto_extra_taxa,wer_media,cer_media,num_f1_media,cost_usd_media,completion_tokens_media,prompt_tokens_media,latency_s_media
Alibaba,aberto,qwen/qwen3-vl-235b-a22b-instruct,Qwen3-VL 235B,p1,16,16,1.0,0,0.0,16,16,0.8125,0.22359949173186824,0.17399760568081687,0.8212435793171331,0.00382614375,3033.4375,2582.1875,63.11082371876546
Alibaba,fechado,qwen/qwen3.7-plus,Qwen3.7 Plus,p1,16,16,1.0,0,0.0,16,16,0.9375,0.10458808459239213,0.0685287172983903,0.9034948048812134,0.0077139800000000005,5382,2578.1875,95.09928997498355
